date,avg_cdd
2025-01-01,0.0
2025-01-02,0.0
2025-01-03,0.0
2025-01-04,0.07451923076923077
2025-01-05,0.0
2025-01-06,0.0
2025-01-07,0.0
2025-01-08,0.0
2025-01-09,0.0
2025-01-10,0.0
2025-01-11,0.0
2025-01-12,0.0
2025-01-13,0.0
2025-01-14,0.0
2025-01-15,0.0
2025-01-16,0.0
2025-01-17,0.0
2025-01-18,0.0
2025-01-19,0.0
2025-01-20,0.0
2025-01-21,0.0
2025-01-22,0.0
2025-01-23,0.0
2025-01-24,0.0
2025-01-25,0.0
2025-01-26,0.0
2025-01-27,0.0
2025-01-28,0.0
2025-01-29,0.0
2025-01-30,0.011346153846153848
2025-01-31,0.0
2025-02-01,0.0
2025-02-02,0.012788461538461538
2025-02-03,0.8356730769230769
2025-02-04,1.3858653846153846
2025-02-05,1.5739423076923076
2025-02-06,2.722115384615385
2025-02-07,2.6174999999999997
2025-02-08,2.7091346153846154
2025-02-09,0.5958653846153846
2025-02-10,0.013269230769230768
2025-02-11,0.14951923076923077
2025-02-12,0.0
2025-02-13,0.0
2025-02-14,0.0
2025-02-15,0.13682692307692307
2025-02-16,0.0
2025-02-17,0.0
2025-02-18,0.0
2025-02-19,0.0
2025-02-20,0.0
2025-02-21,0.0
2025-02-22,0.0
2025-02-23,0.0
2025-02-24,0.002980769230769231
2025-02-25,0.26346153846153847
2025-02-26,0.37278846153846157
2025-02-27,0.0
2025-02-28,0.008365384615384615
2025-03-01,0.29528846153846156
2025-03-02,0.8703846153846153
2025-03-03,1.522980769230769
2025-03-04,0.20403846153846153
2025-03-05,0.0
2025-03-06,0.022403846153846156
2025-03-07,1.6941346153846153
2025-03-08,0.20423076923076922
2025-03-09,0.0
2025-03-10,0.0
2025-03-11,0.12798076923076923
2025-03-12,1.697019230769231
2025-03-13,2.133942307692308
2025-03-14,2.8477884615384617
2025-03-15,0.2548076923076923
2025-03-16,0.007692307692307693
2025-03-17,0.16240384615384615
2025-03-18,2.3983653846153845
2025-03-19,0.22432692307692306
2025-03-20,0.0
2025-03-21,0.021923076923076927
