date,avg_cdd
2025-06-01,8.39875
2025-06-02,9.69076923076923
2025-06-03,9.448365384615384
2025-06-04,7.944134615384616
2025-06-05,9.740673076923075
2025-06-06,10.688653846153844
2025-06-07,11.170576923076924
2025-06-08,11.20653846153846
2025-06-09,9.867596153846154
2025-06-10,8.56548076923077
2025-06-11,6.8631730769230765
2025-06-12,6.922788461538461
2025-06-13,8.308076923076923
2025-06-14,9.299903846153846
2025-06-15,9.1275
2025-06-16,9.354903846153846
2025-06-17,10.102596153846154
2025-06-18,10.376538461538464
2025-06-19,10.389134615384616
2025-06-20,10.883557692307694
2025-06-21,10.55298076923077
2025-06-22,10.52346153846154
2025-06-23,10.93355769230769
2025-06-24,10.784711538461538
2025-06-25,10.037692307692309
2025-06-26,10.25173076923077
2025-06-27,10.621923076923078
2025-06-28,11.374615384615383
2025-06-29,10.856923076923076
2025-06-30,10.835384615384616
2025-07-01,9.4375
2025-07-02,9.804615384615383
2025-07-03,8.732211538461538
2025-07-04,8.889038461538462
2025-07-05,9.776346153846154
2025-07-06,9.600673076923076
2025-07-07,9.417115384615384
2025-07-08,9.507211538461538
2025-07-09,8.888942307692307
2025-07-10,9.51423076923077
2025-07-11,9.641346153846154
2025-07-12,9.56298076923077
2025-07-13,8.649134615384614
2025-07-14,8.662884615384616
2025-07-15,9.639807692307691
2025-07-16,10.194134615384616
2025-07-17,10.156346153846156
2025-07-18,9.82125
2025-07-19,10.546153846153846
2025-07-20,10.903557692307691
2025-07-21,11.179326923076925
2025-07-22,10.628173076923076
2025-07-23,11.473846153846154
2025-07-24,12.098942307692308
2025-07-25,11.382980769230768
2025-07-26,10.675961538461538
2025-07-27,10.87375
2025-07-28,11.993365384615384
2025-07-29,12.120961538461538
2025-07-30,12.10903846153846
2025-07-31,12.38673076923077
2025-08-01,12.130480769230768
2025-08-02,11.469423076923077
2025-08-03,11.66019230769231
2025-08-04,11.380384615384616
2025-08-05,11.5975
2025-08-06,12.153076923076924
2025-08-07,12.805480769230767
2025-08-08,13.179134615384616
2025-08-09,13.10423076923077
2025-08-10,12.356057692307692
2025-08-11,11.797884615384616
2025-08-12,11.850769230769233
2025-08-13,11.91471153846154
2025-08-14,12.982307692307693
2025-08-15,12.87375
2025-08-16,12.274326923076924
2025-08-17,12.82596153846154
2025-08-18,13.18355769230769
2025-08-19,13.138846153846156
2025-08-20,11.93875
2025-08-21,11.25951923076923
2025-08-22,10.703846153846154
2025-08-23,11.031826923076922
2025-08-24,11.648846153846154
2025-08-25,11.746442307692307
2025-08-26,10.720576923076925
2025-08-27,10.673461538461538
2025-08-28,12.715096153846153
2025-08-29,12.226634615384617
2025-08-30,10.714326923076923
2025-08-31,9.469807692307691
2025-09-01,9.332692307692309
2025-09-02,9.967692307692309
2025-09-03,10.286346153846154
2025-09-04,11.383846153846154
2025-09-05,10.854038461538462
2025-09-06,7.366346153846154
2025-09-07,6.705673076923077
2025-09-08,6.564423076923077
2025-09-09,6.692788461538461
2025-09-10,7.959519230769231
2025-09-11,9.3525
2025-09-12,10.044903846153847
2025-09-13,9.798461538461538
2025-09-14,9.426538461538462
2025-09-15,9.947692307692307
2025-09-16,9.855192307692308
2025-09-17,9.938365384615384
2025-09-18,9.929903846153849
2025-09-19,10.1775
2025-09-20,10.122692307692308
2025-09-21,10.814134615384615
2025-09-22,11.9775
2025-09-23,12.446538461538465
2025-09-24,9.015288461538464
2025-09-25,7.571153846153846
2025-09-26,7.127692307692308
2025-09-27,7.298269230769231
2025-09-28,6.653653846153846
2025-09-29,6.401057692307693
2025-09-30,7.826538461538462
