date,avg_hdd
2024-12-01,2.69625
2024-12-02,2.0701785714285714
2024-12-03,2.1860714285714287
2024-12-04,2.4676785714285714
2024-12-05,0.8839285714285714
2024-12-06,3.6498214285714288
2024-12-07,2.4812499999999997
2024-12-08,0.3907142857142857
2024-12-09,0.5346428571428572
2024-12-10,0.2717857142857143
2024-12-11,0.0
2024-12-12,2.169107142857143
2024-12-13,3.7112499999999997
2024-12-14,3.644821428571429
2024-12-15,4.15125
2024-12-16,0.34410714285714283
2024-12-17,0.0
2024-12-18,0.0067857142857142855
2024-12-19,0.8646428571428572
2024-12-20,2.133035714285714
2024-12-21,5.909464285714286
2024-12-22,9.72642857142857
2024-12-23,7.838928571428572
2024-12-24,2.487142857142857
2024-12-25,3.8960714285714286
2024-12-26,3.6948214285714287
2024-12-27,3.0964285714285715
2024-12-28,0.37035714285714283
2024-12-29,0.0
2024-12-30,0.0
2024-12-31,0.0
2025-01-01,0.014107142857142858
2025-01-02,0.6362500000000001
2025-01-03,1.6923214285714285
2025-01-04,3.7135714285714285
2025-01-05,4.605357142857143
2025-01-06,6.729464285714286
2025-01-07,7.189821428571428
2025-01-08,6.85875
2025-01-09,6.538392857142857
2025-01-10,3.4910714285714284
2025-01-11,3.5023214285714284
2025-01-12,2.707142857142857
2025-01-13,1.705892857142857
2025-01-14,4.001964285714285
2025-01-15,5.933571428571428
2025-01-16,5.895892857142857
2025-01-17,3.2953571428571427
2025-01-18,0.9728571428571428
2025-01-19,2.4617857142857145
2025-01-20,8.275535714285715
2025-01-21,10.917857142857143
2025-01-22,11.014285714285714
2025-01-23,7.116785714285714
2025-01-24,5.977142857142858
2025-01-25,6.262857142857143
2025-01-26,2.8826785714285714
2025-01-27,2.814464285714286
2025-01-28,3.803035714285714
2025-01-29,1.8314285714285714
2025-01-30,5.896428571428571
2025-01-31,1.5826785714285714
2025-02-01,6.364107142857143
2025-02-02,8.491249999999999
2025-02-03,1.6773214285714286
2025-02-04,3.3167857142857144
2025-02-05,7.164821428571429
2025-02-06,4.622857142857143
2025-02-07,3.231964285714286
2025-02-08,4.8898214285714285
2025-02-09,3.983392857142857
2025-02-10,5.74
2025-02-11,5.854821428571428
2025-02-12,4.802142857142857
2025-02-13,1.3458928571428572
2025-02-14,5.2057142857142855
2025-02-15,5.427142857142857
2025-02-16,2.081607142857143
2025-02-17,6.2575
2025-02-18,8.866249999999999
2025-02-19,8.74
2025-02-20,8.662678571428572
2025-02-21,6.945714285714286
2025-02-22,5.381964285714285
2025-02-23,1.8342857142857143
2025-02-24,1.835357142857143
2025-02-25,0.10464285714285715
2025-02-26,0.46875
2025-02-27,0.41678571428571426
2025-02-28,0.9169642857142858
